Wrk Loc Cd = tz_gmt,Icu Timezone
YC5 = +1:00,Africa/Algiers
ADR = +1:00,Europe/Paris
A3L = -3:00,America/Buenos_Aires
G1A = -3:00,America/Buenos_Aires
D5J = -3:00,America/Buenos_Aires
0PQ = -3:00,America/Buenos_Aires
37Q = -3:00,America/Buenos_Aires
AMA = -3:00,America/Buenos_Aires
54E = -3:00,America/Buenos_Aires
D4Q = -3:00,America/Buenos_Aires
ACT = -3:00,America/Buenos_Aires
AR7 = -3:00,America/Buenos_Aires
D7Z = -3:00,America/Buenos_Aires
AJU = -3:00,America/Buenos_Aires
0FF = -3:00,America/Buenos_Aires
0FD = -3:00,America/Buenos_Aires
D9O = -3:00,America/Buenos_Aires
0IM = -3:00,America/Buenos_Aires
D2J = -3:00,America/Buenos_Aires
DE4 = -3:00,America/Buenos_Aires
DE5 = -3:00,America/Buenos_Aires
DE6 = -3:00,America/Buenos_Aires
DE7 = -3:00,America/Buenos_Aires
DE8 = -3:00,America/Buenos_Aires
DE9 = -3:00,America/Buenos_Aires
DF1 = -3:00,America/Buenos_Aires
DF0 = -3:00,America/Buenos_Aires
0IL = -3:00,America/Buenos_Aires
AME = -3:00,America/Buenos_Aires
APO = -3:00,America/Buenos_Aires
ANE = -3:00,America/Buenos_Aires
ARO = -3:00,America/Buenos_Aires
ASF = -3:00,America/Buenos_Aires
0IN = -3:00,America/Buenos_Aires
ATU = -3:00,America/Buenos_Aires
A9K = -3:00,America/Buenos_Aires
A1L = -3:00,America/Buenos_Aires
ACO = -3:00,America/Buenos_Aires
DF2 = -3:00,America/Buenos_Aires
ARC = -3:00,America/Buenos_Aires
614 = -4:00,America/Aruba
D6L = +10:00,Australia/Melbourne
CAA = +10:00,Australia/Melbourne
Z1F = +10:00,Australia/Melbourne
54L = +10:00,Australia/Melbourne
PKX = +10:00,Australia/Melbourne
0XR = +10:00,Australia/Melbourne
Z1I = +10:00,Australia/Melbourne
0XS = +10:00,Australia/Melbourne
C5I = +10:00,Australia/Melbourne
WD0 = +10:00,Australia/Melbourne
0FL = +10:00,Australia/Melbourne
0XM = +10:00,Australia/Melbourne
U17 = +10:00,Australia/Melbourne
D6H = +10:00,Australia/Melbourne
RM0 = +10:00,Australia/Melbourne
BHA = +10:00,Australia/Melbourne
W01 = +10:00,Australia/Melbourne
RH0 = +10:00,Australia/Melbourne
W95 = +10:00,Australia/Melbourne
U16 = +10:00,Australia/Melbourne
W9X = +10:00,Australia/Melbourne
0XC = +10:00,Australia/Melbourne
WKX = +10:00,Australia/Melbourne
79I = +10:00,Australia/Melbourne
UPE = +10:00,Australia/Melbourne
WLX = +10:00,Australia/Melbourne
C5F = +10:00,Australia/Melbourne
37V = +10:00,Australia/Melbourne
MML = +10:00,Australia/Melbourne
NRL = +10:00,Australia/Melbourne
MS0 = +10:00,Australia/Melbourne
Y96 = +10:00,Australia/Melbourne
Y81 = +10:00,Australia/Melbourne
K04 = +10:00,Australia/Melbourne
MV0 = +10:00,Australia/Melbourne
79H = +10:00,Australia/Melbourne
79N = +10:00,Australia/Melbourne
UE0 = +10:00,Australia/Melbourne
NEA = +10:00,Australia/Melbourne
CST = +10:00,Australia/Melbourne
ZX3 = +10:00,Australia/Melbourne
V57 = +10:00,Australia/Melbourne
W2X = +10:00,Australia/Melbourne
QN5 = +10:00,Australia/Melbourne
J52 = +10:00,Australia/Melbourne
NSX = +10:00,Australia/Melbourne
RV6 = +10:00,Australia/Melbourne
0EQ = +10:00,Australia/Melbourne
37X = +10:00,Australia/Melbourne
RK0 = +10:00,Australia/Melbourne
D2L = +10:00,Australia/Melbourne
0XJ = +10:00,Australia/Melbourne
E1H = +10:00,Australia/Melbourne
D7I = +10:00,Australia/Melbourne
V50 = +10:00,Australia/Melbourne
WHX = +10:00,Australia/Melbourne
TZX = +10:00,Australia/Melbourne
WYX = +10:00,Australia/Melbourne
PAA = +10:00,Australia/Melbourne
W5X = +10:00,Australia/Melbourne
72X = +10:00,Australia/Melbourne
79P = +10:00,Australia/Melbourne
69O = +10:00,Australia/Melbourne
Z1G = +10:00,Australia/Melbourne
85V = +10:00,Australia/Melbourne
UD9 = +10:00,Australia/Melbourne
A7Y = +10:00,Australia/Melbourne
STA = +10:00,Australia/Melbourne
NHA = +10:00,Australia/Melbourne
X51 = +10:00,Australia/Melbourne
W6X = +10:00,Australia/Melbourne
79L = +10:00,Australia/Melbourne
WIX = +10:00,Australia/Melbourne
WPX = +10:00,Australia/Melbourne
0GT = +10:00,Australia/Melbourne
WRX = +10:00,Australia/Melbourne
Y98 = +10:00,Australia/Melbourne
TKX = +10:00,Australia/Melbourne
DPA = +10:00,Australia/Melbourne
RI0 = +10:00,Australia/Melbourne
TL0 = +10:00,Australia/Melbourne
WEX = +10:00,Australia/Melbourne
NB2 = +10:00,Australia/Melbourne
Y79 = +10:00,Australia/Melbourne
G68 = +10:00,Australia/Melbourne
0XK = +10:00,Australia/Melbourne
46R = +10:00,Australia/Melbourne
RJ0 = +10:00,Australia/Melbourne
WZX = +10:00,Australia/Melbourne
MMS = +10:00,Australia/Melbourne
THX = +10:00,Australia/Melbourne
DVS = +10:00,Australia/Melbourne
NRS = +10:00,Australia/Melbourne
0XL = +10:00,Australia/Melbourne
78Z = +10:00,Australia/Melbourne
RG0 = +10:00,Australia/Melbourne
33Y = +10:00,Australia/Melbourne
W1X = +10:00,Australia/Melbourne
KS0 = +10:00,Australia/Melbourne
35V = +10:00,Australia/Melbourne
RF0 = +10:00,Australia/Melbourne
W3X = +10:00,Australia/Melbourne
WMX = +10:00,Australia/Melbourne
W4X = +10:00,Australia/Melbourne
61E = +10:00,Australia/Melbourne
W81 = +10:00,Australia/Melbourne
WOX = +10:00,Australia/Melbourne
APX = +10:00,Australia/Melbourne
E1V = +10:00,Australia/Melbourne
RN2 = +10:00,Australia/Melbourne
MCX = +10:00,Australia/Melbourne
WJX = +10:00,Australia/Melbourne
JSX = +10:00,Australia/Melbourne
0GU = +10:00,Australia/Melbourne
37S = +10:00,Australia/Melbourne
79T = +10:00,Australia/Melbourne
0JE = +10:00,Australia/Melbourne
CFA = +10:00,Australia/Melbourne
Z1H = +10:00,Australia/Melbourne
WY2 = +9:30,Australia/Darwin
Z1E = +9:30,Australia/Darwin
79J = +9:30,Australia/Darwin
A63 = +10:00,Australia/Brisbane
F65 = +10:00,Australia/Brisbane
TQ0 = +10:00,Australia/Brisbane
TOX = +10:00,Australia/Brisbane
WB0 = +10:00,Australia/Brisbane
Y20 = +10:00,Australia/Brisbane
WQX = +10:00,Australia/Brisbane
A4Y = +10:00,Australia/Brisbane
79A = +10:00,Australia/Brisbane
A5Y = +10:00,Australia/Brisbane
BGX = +10:00,Australia/Brisbane
DVB = +10:00,Australia/Brisbane
S63 = +10:00,Australia/Brisbane
37T = +10:00,Australia/Brisbane
DAG = +10:00,Australia/Brisbane
37U = +10:00,Australia/Brisbane
LLB = +10:00,Australia/Brisbane
WUX = +10:00,Australia/Brisbane
Y19 = +10:00,Australia/Brisbane
UE1 = +10:00,Australia/Brisbane
79K = +10:00,Australia/Brisbane
NRB = +10:00,Australia/Brisbane
D6K = +10:00,Australia/Brisbane
Z1J = +10:00,Australia/Brisbane
87T = +10:00,Australia/Brisbane
D7K = +10:00,Australia/Brisbane
WGX = +9:30,Australia/Adelaide
0JM = +9:30,Australia/Adelaide
0XA = +9:30,Australia/Adelaide
E22 = +9:30,Australia/Adelaide
TRX = +9:30,Australia/Adelaide
0XB = +9:30,Australia/Adelaide
37R = +9:30,Australia/Adelaide
DVA = +9:30,Australia/Adelaide
0JN = +9:30,Australia/Adelaide
H55 = +9:30,Australia/Adelaide
0XF = +9:30,Australia/Adelaide
D6J = +9:30,Australia/Adelaide
WXX = +9:30,Australia/Adelaide
ADA = +9:30,Australia/Adelaide
79S = +9:30,Australia/Adelaide
DVH = +10:00,Australia/Hobart
Y97 = +10:00,Australia/Hobart
A65 = +10:00,Australia/Hobart
ZW2 = +10:00,Australia/Hobart
WTX = +10:00,Australia/Hobart
A6S = +10:00,Australia/Melbourne
C0G = +10:00,Australia/Melbourne
VR0 = +10:00,Australia/Melbourne
TFX = +10:00,Australia/Melbourne
CLA = +10:00,Australia/Melbourne
QN7 = +10:00,Australia/Melbourne
0XD = +10:00,Australia/Melbourne
RD4 = +10:00,Australia/Melbourne
E1U = +10:00,Australia/Melbourne
0XE = +10:00,Australia/Melbourne
KNA = +10:00,Australia/Melbourne
79M = +10:00,Australia/Melbourne
VPF = +10:00,Australia/Melbourne
D3N = +10:00,Australia/Melbourne
RPX = +10:00,Australia/Melbourne
59I = +10:00,Australia/Melbourne
86L = +10:00,Australia/Melbourne
F77 = +10:00,Australia/Melbourne
0XG = +10:00,Australia/Melbourne
0XH = +10:00,Australia/Melbourne
RE0 = +10:00,Australia/Melbourne
TDX = +10:00,Australia/Melbourne
TXX = +10:00,Australia/Melbourne
WWX = +10:00,Australia/Melbourne
TGX = +10:00,Australia/Melbourne
TYX = +10:00,Australia/Melbourne
86K = +10:00,Australia/Melbourne
A66 = +10:00,Australia/Melbourne
TIX = +10:00,Australia/Melbourne
TSX = +10:00,Australia/Melbourne
WCX = +10:00,Australia/Melbourne
0XI = +10:00,Australia/Melbourne
AT6 = +10:00,Australia/Melbourne
RC0 = +10:00,Australia/Melbourne
TVX = +10:00,Australia/Melbourne
COA = +10:00,Australia/Melbourne
H78 = +10:00,Australia/Melbourne
