9AC	100 NEW GOWER ST.		SAINT JOHN'S	NL	A1C 6K3
M99	WERK GENDORF GEB 117	BURGKIRCHEN	GENDORF		84504
M98	FLUGHAFEN MUENCHEN 2		FREISING		85356
M97	PROVINZIAL STR. 21		FECHINGEN		66130
M96	HEINRICH-HERTZ-STRASSE 40		ERKRATH		40699
M95	Laubheimer Strasse 19		Erbach		89155
M94	Scharpenberger Strasse 72-90		Ennepetal		58256
M93	Ulmer Strasse 65		Eislingen		73054
M92	Am Bonneshof 6		Düsseldorf		40474
M91	FLUGHAFENSTRASSE		DUESSELDORF		40474
M90	Breitenau 12-14		Dachau		85232
M89	Sen. Bort. Strasse 1		Bremerhaven		27580
M88	Bauerland 4		Bremen		28259
M87	Faulenstrasse 23-29		Bremen		28195
M86	MUENSTERSCHE STRASSE 14		BRANDENBURG		14772
M85	ZI des Petites Haies	le Tandem	Maisons-Alfort		94700
LVT	1705 JUDSON RD		LONGVIEW	TX	75601-2938
M84	Von Miller Strasse 12		Barbing		93092
M83	Kronacher Strasse 59		Bamberg		96052
M82	Dieselstrasse 15		Bad Nauheim		61231
M81	JOSEF KNETTEL STRASSE 16		BAD KREUZNACH		55543
M80	BUDEJOVICKA 1		PRAGUE		14021
LVL	9780 ORMSBY STATION RD	SUITE 140	LOUISVILLE	KY	40223-4049
LUX	CEINTURE UM SCHLASS, 1		HESPERANGE		5880
M79	407 DOWNEY RD		SASKATOON	SK	S7N 4L8
M78	IZ NOe-Sued, Strasse 1		Wiener Neudorf		2355
M77	Liebiggasse		Wien		1010
M76	Parkring 10		Wien		1010
M75	Trattnerhof 1		Wien		1010
M74	Gonzagasse  1/1/11		Wien		1010
M73	Wiedener Hauptstrasse 63		Wien		1040
M72	Boschstrasse 31		Wels		4600
M71	Eferdinger Strasse 71		Wels		4600
M70	Wienersdorfer Strasse 20-24		Traiskirchen		2514
LUG	VIA BALESTRA 12		LUGANO		6901
LUC	31 AVENUE DE LA BALTIQUE	PARC D'ACTIVITES DE COURTABOEUF	Les Ulis		91954
M69	Schwarzstrasse 15		Salzburg		5020
M68	Poschacherstrasse 35		Linz		4020
M67	Kirchengasse 57		Klagenfurt		9020
M66	Neutorgasse 57		Graz		8010
M65	Alte Poststrasse 373		Graz		8055
M64	Kasernenstrasse 9		Eisenstadt		7000
M63	7 E Congress St		SAVANNAH	GA	31401-3337
M62	399 Hoes Ln		PISCATAWAY	NJ	08854-4115
M61	1 N DELAWARE AVE		PHILADELPHIA	PA	19106
M60	855 Kempsville Rd		NORFOLK	VA	23502-3919
M59	609 5th Ave		NEW YORK	NY	10017-1021
M58	1717 PARK ST	Suite 309	NAPERVILLE	IL	60563-8479
LSV	7251 W LAKE MEAD BLVD		LAS VEGAS	NV	89128-8351
M57	2505 2nd Ave		SEATTLE	WA	98121-1452
M56	555 E Ocean Blvd		LONG BEACH	CA	90802-5003
M55	245 TOWNPARK DR NW		KENNESAW	GA	30144-5570
M54	390 Benmar Dr		HOUSTON	TX	77060-2902
M53	100 Meadowcreek Dr		CORTE MADERA	CA	94925-1282
M52	1 Poston Rd		CHARLESTON	SC	29407-3424
LSP	200 E Randolph Dr	LASALLE PARTNERS	Chicago	IL	60601
M51	222 FORBES RD		BRAINTREE	MA	02184-2706
M50	9 METROTECH CTR		Brooklyn	NY	11201-5431
LSB	RUA DO MAR DA CHINA, LOTE 1.07.2.3	PARQUE DAS NACOES	LISBOA		1990-138
M49	6500 RIVER PLACE BLVD	Building II, Suite 201	Austin	TX	78730-1119
M48	2200 Renaissance Blvd	Suite 400, Triad Bldg	King of Prussia	PA	19406-2755
M47	1930 Heck Ave	MDS Pharma Services, Bldg 2	Neptune	NJ	07753-4476
M46	621 Rose St		Lincoln	NE	68502-2040
M45	4747 E Beautiful Ln		Phoenix	AZ	85044-5318
M44	5415 W Laurel St		Tampa	FL	33607-1729
M43	2525 Campus Dr		Irvine	CA	92612-1503
M42	22011 30th Dr SE		Bothell	WA	98021-4444
M41	115 Delafield St	MDS Hudson Valley Laboratories, Inc.	Poughkeepsie	NY	12601-1763
M40	1300 Pennsylvania Ave NW		Washington	DC	20229-0001
LRB	111 CENTER ST		LITTLE ROCK	AR	72201-4402
M39	300 E Randolph St		Chicago	IL	60601-5014
M38	500 Town Center Dr		Dearborn	MI	48126-2737
M37	1333 Fairlane Circle		Allen Park	MI	48101-3628
M36	32 Chi Tian Rd		Nanjing		211100
M34	6300 Legacy Dr		Plano	TX	75024-3607
M33	6455 Lusk Blvd		San Diego	CA	92121-2779
M32	1943 Isaac Newton Sq		Reston	VA	20190-5002
M31	314 Jefferson Ridge Pkwy		Lynchburg	VA	24501-6954
M30	450 Park Ave S	5th Floor	New York	NY	10016-7320
995	1-7-1 KUMOJI	FLOORS B1F / 2F / 3F / 6F / 7F / 9F	NAHA		900-0015
M29	30009 Van Dyke Ave	Cadillac Bldg, GM Tech Center	Warren	MI	48093-6712
M28	240 Gateway Rd W		Napa	CA	94558-6276
M27	1111 Dunaweal Ln		Calistoga	CA	94515-9799
M26	1160 Battery St		San Francisco	CA	94111-1213
M25	5080 Spectrum Dr	Suite 1200E	Addison	TX	75001-4625
M24	5301 Blue Lagoon Dr	Suite 900	Miami	FL	33126-7007
M23	2 Park Ave	18th Floor	New York	NY	10016-5675
M22	103 Corporate Park Dr		White Plains	NY	10604-3803
M21	9 W Broad St		Stamford	CT	06902-3734
M20	485 Summer St		Stamford	CT	06901-1302
LPC	54, ROUTE DE SARTROUVILLE		LE PECQ		78230
986	12-28 HANAHATACHO		KUMAMOTO		860
985	3-5 TOBICHO		SASEBO		857
M19	6 Landmark Sq		Stamford	CT	06901-2704
984	2-5-32 TAKACHIHODOURI		MIYAZAKI		880
M18	750 E Main St		Stamford	CT	06902-3831
983	9-5 YAMASHITACHO		KAGOSHIMA		892
M17	55 King St W	TD Tower	Toronto	ON	M5K 1A2
982	2-21 KOHZENCHO		NAGASAKI		850
M16	100 Wellington W	CP Tower	Toronto	ON	M5K 1A2
981	2-14-2 ASANO KOKURAKITA-KU		KITAKYUSHU		802
M15	25 Airport Rd		Morristown	NJ	07960-4624
980	3-26-29 HAKATAEKIMAE	HAKATA-KU	FUKUOKA		812
M14	400 Willow Tree Rd		Leonia	NJ	07605-2240
M13	Sittingbourne Mill, Mill Way	M-real Sittingbourne	Sittingbourne		ME10 3ET
M12	25 Chapel St	Capital House Business Centre	London		NW1 5DS
M11	3 New Augustus Street		Bradford		BD1 5LL
M10	46020 Manekin Plaza		Sterling	VA	20166-6513
LOA	600 W 7th St	6th Floor	Los Angeles	CA	90017-3859
8V6	3-5-4 BANDAICHO		TOKUSHIMA		770
M09	800 E 96th St	Parkwood 8	Indianapolis	IN	46240-3705
M08	Tom Pearce Dr, Auckland Airport	NZ Post Distribution Centre	Auckland		9001
M07	4657 S Racine Ave		Chicago	IL	60609-3322
M06	6420 Congress Ave		Boca Raton	FL	33487-2811
M05	15 River Rd		Wilton	CT	06897-4065
M04	12 Arrow St		Cambridge	MA	02138-5105
M03	1989 Old Naples Rd		Meredosia	IL	62665-7261
M02	Daresbury Park	Daresbury	Warrington		WA4 4BT
M01	1 Cottage Leap		Rugby		CV21 3XP
M00	Byland Way	Pavillion 9, Belasis Hall Technology Park	Billingham		TS23 4YS
LMY	3210 Lake Emma Rd	AT&T	Lake Mary	FL	32746-3334
LMS	RUE ANTOINE BECQUEREL	C/O : CALBERSON	LE MANS		72026
LMI	ONE MICHIGAN AVE		LANSING	MI	48933-1370
LMF	36 Skyline Dr		Lake Mary	FL	32746-6201
LLB	221 Logan Rd		Buranda	QLD	4102
LKY	1500 ARISTIDES BLVD	COLDSTREAM RESEARCH CAMPUS	LEXINGTON	KY	40511-1319
LKM	3200 Lake Emma Rd	AT&T	Lake Mary	FL	32746-3334
LKE	4315 S 2700 W	IBM c/o American Express	Salt Lake City	UT	84184-0002
LIS	4513 Western Ave	AT&T	Lisle	IL	60532-1571
LIN	134 S 13TH ST	10TH FL	LINCOLN	NE	68508-1901
LIL	2441 Warrenville Rd		Lisle	IL	60532-3664
LIB	64 BOULEVARD DE CAMBRAI		ROUBAIX		59060
LGE	LE PLAN DU BOIS		LA GAUDE		06610
8N7	2-3-17 SAKAICHO		NIIHAMA		792
LFF	100 ASMA BLVD		LAFAYETTE	LA	70508-3858
LEP	GERICHTSWEG 28		LEIPZIG		04103
LEK	KOHLGARTENSTRASSE 11		LEIPZIG		04315
LDS	RUE DE LONDRES	AXONE	PARIS		75000
LDR	777 American Express Way	IBM c/o American Express	Fort Lauderdale	FL	33337-0002
LBF	1507 LYNDON B JOHNSON FREEWAY		DALLAS	TX	75234-6088
LBC	3300 E Spring St	BOEING COMPANY	Long Beach	CA	90806-2428
LBB	5214 68TH ST		LUBBOCK	TX	79424-1598
LAS	LASSALLESTRASSE 1		WIEN		1020
LAH	VAPAUDENKATU 15B		LAHTI		15110
LAA	GUTENBERGSTR. 21		LAATZEN		30880
L99	1 Bramble Way	Clover Nook Industrial Estate	Alfreton		DE55 4RH
L98	5 Britannia Court	The Green	West Drayton		UB7 7PN
L97	Milldale House	Prime Parkway	Derby		DE1 3QB
L96	Handover Place	Tyne & Wear	Sunderland		SR4 6BY
L95	Hortonwood 37		Telford		TF1 4GT
L94	Oldends Lane		Stonehouse		GL10 3TA
L93	Howard Road, Eaton Socon	St Neots	Huntingdon		PE29 3EU
L92	Auriga House, Precedent Drive	Rooksley	Milton Keynes		MK13 8PQ
L91	Wilmslow Rd	9 The Towers	Didsbury		M20 2AB
L90	East Kingsway		Dundee		DD4 7RP
L89	Stonefield Works	Oulton Road	Stone		ST15 0RS
L87	1600 7th Ave		Seattle	WA	98191-0001
L86	4250 N Fairfax Dr		Arlington	VA	22203
L85	600 Stinson Blvd		Minneapolis	MN	55413-2620
L84	930 15th St		Denver	CO	80202-2932
L83	198 Inverness Dr W		Englewood	CO	80112-5202
L82	20 E Thomas Rd		Phoenix	AZ	85012-3103
L81	104 Gilcrease Museum Rd		Tulsa	OK	74127
L80	24000 Honda Pkwy		Marysville	OH	43040-9251
L79	1501 Yamato Rd		Boca Raton	FL	33487
L78	285 Madison Ave		New York	NY	10017-6401
